"Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"04096","STANDARD","YARMOUTH","ME","PRIMARY",43.79,-70.20,"NA-US-ME-YARMOUTH","false",4405,7622,238817636
"04097","STANDARD","NORTH YARMOUTH","ME","PRIMARY",43.84,-70.21,"NA-US-ME-NORTH YARMOUTH","false",1731,3254,91728523
"03909","STANDARD","YORK","ME","PRIMARY",43.14,-70.65,"NA-US-ME-YORK","false",4516,7886,207532657
"03910","PO BOX","YORK BEACH","ME","PRIMARY",43.18,-70.67,"NA-US-ME-YORK BEACH","false",740,1165,21524869
"03911","PO BOX","YORK HARBOR","ME","PRIMARY",43.14,-70.64,"NA-US-ME-YORK HARBOR","false",464,717,17907049
"03601","STANDARD","ACWORTH","NH","PRIMARY",43.21,-72.29,"NA-US-NH-ACWORTH","false",,,
"03602","STANDARD","ALSTEAD","NH","PRIMARY",43.15,-72.36,"NA-US-NH-ALSTEAD","false",1304,2282,46991491
"03607","STANDARD","SOUTH ACWORTH","NH","PRIMARY",43.18,-72.32,"NA-US-NH-SOUTH ACWORTH","false",,,
"03809","STANDARD","ALTON","NH","PRIMARY",43.45,-71.21,"NA-US-NH-ALTON","false",1849,3288,73499577
"03810","STANDARD","ALTON BAY","NH","PRIMARY",43.48,-71.24,"NA-US-NH-ALTON BAY","false",835,1460,31830934
"03031","STANDARD","AMHERST","NH","PRIMARY",42.86,-71.61,"NA-US-NH-AMHERST","false",5804,10851,459785171
"03216","STANDARD","ANDOVER","NH","PRIMARY",43.43,-71.82,"NA-US-NH-ANDOVER","false",1010,1775,34349874
"03440","STANDARD","ANTRIM","NH","PRIMARY",43.03,-71.94,"NA-US-NH-ANTRIM","false",1352,2376,49393796
"03217","STANDARD","ASHLAND","NH","PRIMARY",43.69,-71.63,"NA-US-NH-ASHLAND","false",1184,1929,34793589
"03441","STANDARD","ASHUELOT","NH","PRIMARY",42.81,-72.44,"NA-US-NH-ASHUELOT","false",,,
"03811","STANDARD","ATKINSON","NH","PRIMARY",42.83,-71.14,"NA-US-NH-ATKINSON","false",3637,6432,203601097
"03032","STANDARD","AUBURN","NH","PRIMARY",43.00,-71.34,"NA-US-NH-AUBURN","false",2576,4763,148714262
"03218","STANDARD","BARNSTEAD","NH","PRIMARY",43.33,-71.29,"NA-US-NH-BARNSTEAD","false",592,1040,22542745
"03825","STANDARD","BARRINGTON","NH","PRIMARY",43.22,-71.04,"NA-US-NH-BARRINGTON","false",4323,7780,202879727
"03812","STANDARD","BARTLETT","NH","PRIMARY",44.08,-71.27,"NA-US-NH-BARTLETT","false",323,518,7199051
"03740","STANDARD","BATH","NH","PRIMARY",44.16,-71.96,"NA-US-NH-BATH","false",514,868,14528223
"03220","STANDARD","BELMONT","NH","PRIMARY",43.44,-71.47,"NA-US-NH-BELMONT","false",3554,6141,129018031
"03442","STANDARD","BENNINGTON","NH","PRIMARY",43.00,-71.93,"NA-US-NH-BENNINGTON","false",686,1189,24912534
"03570","STANDARD","BERLIN","NH","PRIMARY",44.48,-71.25,"NA-US-NH-BERLIN","false",4516,7523,119834295
"03574","STANDARD","BETHLEHEM","NH","PRIMARY",44.28,-71.68,"NA-US-NH-BETHLEHEM","false",1307,2199,42075847
"03221","STANDARD","BRADFORD","NH","PRIMARY",43.27,-71.96,"NA-US-NH-BRADFORD","false",1104,1901,39595169
"03222","STANDARD","BRISTOL","NH","PRIMARY",43.60,-71.74,"NA-US-NH-BRISTOL","false",2747,4689,88959909
"03033","STANDARD","BROOKLINE","NH","PRIMARY",42.73,-71.66,"NA-US-NH-BROOKLINE","false",2268,4472,162116711
"03215","PO BOX","WATERVILLE VALLEY","NH","PRIMARY",43.95,-71.50,"NA-US-NH-WATERVILLE VALLEY","false",,,
